,Filenames,Status
0,evaluate\001 (1).tif,False
1,evaluate\001 (2).tif,False
2,evaluate\001.tif,False
3,evaluate\001A.tif,True
4,evaluate\002 (1).tif,False
5,evaluate\002 (2).tif,False
6,evaluate\002.tif,False
7,evaluate\002A.tif,True
8,evaluate\003 (1).tif,False
9,evaluate\003 (2).tif,False
10,evaluate\003.tif,False
11,evaluate\003A.tif,True
12,evaluate\004 (1).tif,False
13,evaluate\004 (2).tif,False
14,evaluate\004.tif,False
15,evaluate\004A.tif,False
16,evaluate\005 (1).tif,False
17,evaluate\005 (2).tif,False
18,evaluate\005.tif,False
19,evaluate\005A.tif,True
20,evaluate\006 (1).tif,False
21,evaluate\006 (2).tif,False
22,evaluate\006.tif,False
23,evaluate\006A.tif,False
24,evaluate\007 (1).tif,False
25,evaluate\007 (2).tif,False
26,evaluate\007.tif,False
27,evaluate\007A.tif,False
28,evaluate\008 (1).tif,False
29,evaluate\008 (2).tif,False
30,evaluate\008.tif,False
31,evaluate\008A.tif,False
32,evaluate\009 (1).tif,False
33,evaluate\009 (2).tif,False
34,evaluate\009.tif,False
35,evaluate\009A.tif,True
36,evaluate\010 (1).tif,False
37,evaluate\010 (2).tif,False
38,evaluate\010.tif,False
39,evaluate\010A.tif,True
40,evaluate\011 (1).tif,False
41,evaluate\011 (2).tif,False
42,evaluate\011.tif,False
43,evaluate\011A.tif,False
44,evaluate\012 (1).tif,False
45,evaluate\012 (2).tif,False
46,evaluate\012.tif,False
47,evaluate\012A.tif,True
48,evaluate\013 (1).tif,False
49,evaluate\013 (2).tif,False
50,evaluate\013.tif,False
51,evaluate\013A.tif,True
52,evaluate\014 (1).tif,False
53,evaluate\014 (2).tif,False
54,evaluate\014.tif,False
55,evaluate\014A.tif,True
56,evaluate\015 (1).tif,False
57,evaluate\015 (2).tif,False
58,evaluate\015.tif,False
59,evaluate\015A.tif,True
60,evaluate\016 (1).tif,False
61,evaluate\016 (2).tif,False
62,evaluate\016.tif,False
63,evaluate\016A.tif,True
64,evaluate\017 (1).tif,False
65,evaluate\017 (2).tif,False
66,evaluate\017.tif,False
67,evaluate\017A.tif,True
68,evaluate\018 (1).tif,False
69,evaluate\018 (2).tif,False
70,evaluate\018.tif,False
71,evaluate\018A.tif,True
72,evaluate\019 (1).tif,False
73,evaluate\019 (2).tif,False
74,evaluate\019.tif,False
75,evaluate\019A.tif,False
76,evaluate\020 (1).tif,False
77,evaluate\020 (2).tif,False
78,evaluate\020.tif,False
79,evaluate\020A.tif,True
80,evaluate\021 (1).tif,False
81,evaluate\021 (2).tif,False
82,evaluate\021.tif,False
83,evaluate\021A.tif,True
84,evaluate\022 (1).tif,False
85,evaluate\022 (2).tif,False
86,evaluate\022.tif,False
87,evaluate\022A.tif,True
88,evaluate\023 (1).tif,False
89,evaluate\023 (2).tif,False
90,evaluate\023.tif,False
91,evaluate\023A.tif,True
92,evaluate\024 (1).tif,False
93,evaluate\024 (2).tif,False
94,evaluate\024.tif,False
95,evaluate\024A.tif,False
96,evaluate\025 (1).tif,False
97,evaluate\025 (2).tif,False
98,evaluate\025.tif,False
99,evaluate\025A.tif,False
100,evaluate\026 (1).tif,False
101,evaluate\026 (2).tif,False
102,evaluate\026.tif,False
103,evaluate\026A.tif,True
104,evaluate\027 (1).tif,False
105,evaluate\027 (2).tif,False
106,evaluate\027.tif,False
107,evaluate\027A.tif,False
108,evaluate\028 (1).tif,False
109,evaluate\028 (2).tif,False
110,evaluate\028.tif,False
111,evaluate\028A.tif,False
112,evaluate\029 (1).tif,False
113,evaluate\029 (2).tif,False
114,evaluate\029.tif,False
115,evaluate\029A.tif,True
116,evaluate\030 (1).tif,False
117,evaluate\030 (2).tif,False
118,evaluate\030.tif,False
119,evaluate\030A.tif,False
120,evaluate\031 (1).tif,False
121,evaluate\031 (2).tif,False
122,evaluate\031.tif,False
123,evaluate\031A.tif,False
124,evaluate\032 (1).tif,False
125,evaluate\032 (2).tif,False
126,evaluate\032.tif,False
127,evaluate\032A.tif,True
128,evaluate\033 (1).tif,False
129,evaluate\033 (2).tif,False
130,evaluate\033.tif,False
131,evaluate\033A.tif,False
132,evaluate\034 (1).tif,False
133,evaluate\034 (2).tif,False
